Name,EX,EW,Subtotal (EX+EW),CR(PE),CR(PEW),Subtotal (EX+EW+ CR(PE)+CR(PEW)),CR,EN,VU,Subtotal (threatened spp.),LR/cd,NT or LR/nt,LC or LR/lc,DD,Total
Papua New Guinea,1,0,1,2,0,3,49,87,301,437,3,284,"4,051",525,"5,301"
Pitcairn,0,0,0,0,0,0,1,8,28,37,1,25,523,27,613
Samoa,2,0,2,0,0,2,5,20,75,100,3,85,"1,344",78,"1,612"
Solomon Islands,2,0,2,3,0,5,15,39,189,243,3,201,"2,210",145,"2,804"
Tokelau,0,0,0,0,0,0,1,11,46,58,2,58,899,34,"1,051"
Tonga,2,0,2,2,0,4,5,20,68,93,3,70,"1,418",59,"1,645"
Tuvalu,0,0,0,0,0,0,1,14,87,102,3,113,"1,094",46,"1,358"
United States Minor Outlying Islands,1,0,1,0,0,1,4,9,63,76,1,75,"1,256",53,"1,462"
Vanuatu,1,0,1,0,0,1,2,23,114,139,3,135,"1,804",96,"2,178"
Wallis and Futuna,0,0,0,0,0,0,2,13,78,93,0,94,"1,201",50,"1,438"
Argentina,3,3,6,6,0,12,41,69,118,228,0,127,"2,211",178,"2,750"
"Bolivia, Plurinational States of",0,0,0,9,0,9,35,34,88,157,2,98,"2,312",132,"2,701"
Brazil,11,2,13,11,0,24,105,144,287,536,9,230,"4,768",700,"6,256"
Chile,1,0,1,3,0,4,25,62,81,168,0,84,"1,302",201,"1,756"
Colombia,1,0,1,40,2,43,126,227,361,714,2,259,"5,283",586,"6,845"
Ecuador,8,0,8,41,0,49,112,164,296,572,2,207,"3,527",371,"4,687"
Falkland Islands (Malvinas),1,0,1,0,0,1,0,8,11,19,0,10,281,17,328
French Guiana,0,0,0,0,0,0,13,16,45,74,1,46,"2,081",93,"2,295"
Guyana,0,0,0,0,0,0,14,28,61,103,2,57,"2,281",109,"2,552"
Paraguay,0,3,3,2,0,5,7,12,30,49,0,61,"1,106",38,"1,257"
Peru,1,0,1,10,0,11,58,155,209,422,2,204,"3,891",474,"4,994"
Suriname,0,0,0,0,0,0,10,17,45,72,0,53,"2,141",95,"2,361"
Uruguay,2,0,2,2,0,4,21,30,60,111,0,51,988,64,"1,216"
"Venezuela, Bolivarian Republic of",1,0,1,11,0,12,58,108,170,336,1,168,"3,758",316,"4,580"
Bangladesh,0,1,1,0,0,1,31,54,76,161,0,78,"1,617",107,"1,964"
Bhutan,0,0,0,0,0,0,7,17,34,58,0,40,714,6,818
British Indian Ocean Territory,0,0,0,0,0,0,3,14,78,95,2,103,"1,063",46,"1,309"
Brunei Darussalam,0,0,0,0,0,0,13,42,84,139,0,126,"1,588",87,"1,940"
Cambodia,0,0,0,1,0,1,35,60,160,255,0,169,"2,157",187,"2,768"
Disputed Territory,0,0,0,0,0,0,1,5,14,20,0,5,"1,086",34,"1,145"
India,0,0,0,7,0,7,94,230,398,722,2,331,"4,332",868,"6,255"
Indonesia,3,0,3,23,3,29,185,323,654,"1,162",4,640,"6,307","1,392","9,508"
Lao People's Democratic Republic,1,0,1,2,0,3,34,58,101,193,0,95,"1,530",223,"2,042"
Malaysia,1,0,1,14,0,15,96,183,434,713,3,442,"4,168",504,"5,831"
Maldives,0,0,0,0,0,0,6,22,59,87,2,94,"1,347",70,"1,600"
Myanmar,0,0,0,1,0,1,38,85,177,300,3,258,"3,226",434,"4,221"
Nepal,0,0,0,0,0,0,14,25,54,93,0,66,"1,271",65,"1,495"
Philippines,15,0,15,3,0,18,54,184,409,647,5,352,"3,652",597,"5,268"
Singapore,1,0,1,1,0,2,21,49,208,278,3,229,"1,853",154,"2,518"
