Year,Threatened_category,Classification_organism,Number_of_Species
2010,EN,Mammals,450
2010,VU,Mammals,493
2010,CR,Birds,190
2010,EN,Birds,372
2010,VU,Birds,678
2010,CR,Amphibians,486
2010,EN,Amphibians,758
2010,VU,Amphibians,654
2010,CR,Fishes,376
2010,EN,Fishes,400
2010,VU,Fishes,1075
2010,CR,  Insects,89
2010,EN,  Insects,166
2010,VU,  Insects,478
2010,CR,Molluscs,373
2010,EN,Molluscs,328
2010,VU,Molluscs,587
2010,CR,Other invertebrates,132
2010,EN,Other invertebrates,183
2010,VU,Other invertebrates,568
2010,CR,Plants,1619
2010,EN,Plants,2397
2010,VU,Plants,4708
2010,CR,Fungi &protists,2
2010,EN,Fungi &protists,1
2010,VU,Fungi &protists,0
2010,CR,TOTAL,3561
2010,EN,TOTAL,5255
2010,VU,TOTAL,9529
2011,CR,Mammals,194
2011,EN,Mammals,447
2011,VU,Mammals,497
2011,CR,Birds,189
2011,EN,Birds,382
2011,VU,Birds,682
2011,CR,Amphibians,498
2011,EN,Amphibians,764
2011,VU,Amphibians,655
2011,CR,Fishes,414
2011,EN,Fishes,477
2011,VU,Fishes,1137
2011,CR,  Insects,91
2011,EN,  Insects,169
2011,VU,  Insects,481
2011,CR,Molluscs,487
2011,EN,Molluscs,417
2011,VU,Molluscs,769
2011,CR,Other invertebrates,132
2011,EN,Other invertebrates,183
2011,VU,Other invertebrates,568
2011,CR,Plants,1731
2011,EN,Plants,2564
2011,VU,Plants,4861
2011,CR,Fungi &protists,2
2011,EN,Fungi &protists,1
2011,VU,Fungi &protists,0
2011,CR,TOTAL,3875
2011,EN,TOTAL,5688
2011,VU,TOTAL,10001
2012,CR,Mammals,196
2012,EN,Mammals,446
2012,VU,Mammals,497
2012,CR,Birds,197
2012,EN,Birds,389
2012,VU,Birds,727
2012,CR,Amphibians,509
2012,EN,Amphibians,767
2012,VU,Amphibians,657
2012,CR,Fishes,415
2012,EN,Fishes,494
2012,VU,Fishes,1149
2012,CR,  Insects,119
2012,EN,  Insects,207
2012,VU,  Insects,503
2012,CR,Molluscs,549
2012,EN,Molluscs,480
2012,VU,Molluscs,828
2012,CR,Other invertebrates,132
2012,EN,Other invertebrates,183
2012,VU,Other invertebrates,569
2012,CR,Plants,1821
2012,EN,Plants,2655
2012,VU,Plants,4914
2012,CR,Fungi &protists,2
2012,EN,Fungi &protists,1
2012,VU,Fungi &protists,0
2012,CR,TOTAL,4084
2012,EN,TOTAL,5918
2012,VU,TOTAL,10211
2013,CR,Mammals,196
2013,EN,Mammals,447
2013,VU,Mammals,500
2013,CR,Birds,198
2013,EN,Birds,397
2013,VU,Birds,713
2013,CR,Amphibians,520
2013,EN,Amphibians,783
2013,VU,Amphibians,647
2013,CR,Fishes,413
2013,EN,Fishes,530
2013,VU,Fishes,1167
2013,CR,  Insects,125
2013,EN,  Insects,247
2013,VU,  Insects,524
2013,CR,Molluscs,553
2013,EN,Molluscs,486
2013,VU,Molluscs,859
2013,CR,Other invertebrates,154
2013,EN,Other invertebrates,224
2013,VU,Other invertebrates,650
2013,CR,Plants,1957
2013,EN,Plants,3009
2013,VU,Plants,5099
2013,CR,Fungi &protists,2
2013,EN,Fungi &protists,1
2013,VU,Fungi &protists,0
2013,CR,TOTAL,4282
2013,EN,TOTAL,6453
2013,VU,TOTAL,10545
2014,CR,Mammals,213
2014,EN,Mammals,477
2014,VU,Mammals,509
2014,CR,Birds,213
2014,EN,Birds,419
2014,VU,Birds,741
2014,CR,Amphibians,518
2014,EN,Amphibians,789
2014,VU,Amphibians,650
2014,CR,Fishes,443
2014,EN,Fishes,587
2014,VU,Fishes,1192
2014,CR,  Insects,168
2014,EN,  Insects,270
2014,VU,  Insects,555
2014,CR,Molluscs,576
2014,EN,Molluscs,501
2014,VU,Molluscs,873
2014,CR,Other invertebrates,205
2014,EN,Other invertebrates,307
2014,VU,Other invertebrates,685
2014,CR,Plants,2119
2014,EN,Plants,3231
2014,VU,Plants,5234
2014,CR,Fungi &protists,2
2014,EN,Fungi &protists,1
2014,VU,Fungi &protists,0
2014,CR,TOTAL,4631
2014,EN,TOTAL,6938
2014,VU,TOTAL,10836
2015,CR,Mammals,209
2015,EN,Mammals,481
2015,VU,Mammals,507
2015,CR,Birds,218
2015,EN,Birds,416
2015,VU,Birds,741
2015,CR,Amphibians,528
2015,EN,Amphibians,810
2015,VU,Amphibians,656
2015,CR,Fishes,446
2015,EN,Fishes,614
2015,VU,Fishes,1211
2015,CR,  Insects,176
2015,EN,  Insects,305
2015,VU,  Insects,565
2015,CR,Molluscs,576
2015,EN,Molluscs,503
2015,VU,Molluscs,871
2015,CR,Other invertebrates,209
2015,EN,Other invertebrates,311
2015,VU,Other invertebrates,685
2015,CR,Plants,2347
2015,EN,Plants,3510
2015,VU,Plants,5376
2015,CR,Fungi &protists,5
2015,EN,Fungi &protists,11
2015,VU,Fungi &protists,13
2015,CR,TOTAL,4894
2015,EN,TOTAL,7322
2015,VU,TOTAL,11028
2016,CR,Mammals,204
2016,EN,Mammals,464
2016,VU,Mammals,526
2016,CR,Birds,225
2016,EN,Birds,448
2016,VU,Birds,787
2016,CR,Amphibians,546
2016,EN,Amphibians,852
2016,VU,Amphibians,670
2016,CR,Fishes,461
2016,EN,Fishes,660
2016,VU,Fishes,1238
2016,CR,  Insects,226
2016,EN,  Insects,408
2016,VU,  Insects,634
2016,CR,Molluscs,586
2016,EN,Molluscs,513
2016,VU,Molluscs,885
2016,CR,Other invertebrates,211
2016,EN,Other invertebrates,312
2016,VU,Other invertebrates,695
2016,CR,Plants,2506
2016,EN,Plants,3691
2016,VU,Plants,5446
2016,CR,Fungi &protists,8
2016,EN,Fungi &protists,12
2016,VU,Fungi &protists,14
2016,CR,TOTAL,5210
2016,EN,TOTAL,7781
2016,VU,TOTAL,11316
2017,CR,Mammals,202
2017,EN,Mammals,476
2017,VU,Mammals,526
2017,CR,Birds,222
2017,EN,Birds,461
2017,VU,Birds,786
2017,CR,Amphibians,552
2017,EN,Amphibians,869
2017,VU,Amphibians,679
2017,CR,Fishes,468
2017,EN,Fishes,676
2017,VU,Fishes,1242
2017,CR,  Insects,273
2017,EN,  Insects,461
2017,VU,  Insects,680
2017,CR,Molluscs,625
2017,EN,Molluscs,547
2017,VU,Molluscs,1015
2017,CR,Other invertebrates,243
2017,EN,Other invertebrates,340
2017,VU,Other invertebrates,709
2017,CR,Plants,2722
2017,EN,Plants,4123
2017,VU,Plants,5660
2017,CR,Fungi &protists,10
2017,EN,Fungi &protists,18
2017,VU,Fungi &protists,21
2017,CR,TOTAL,5583
2017,EN,TOTAL,8455
2017,VU,TOTAL,11783
2018,CR,Mammals,201
2018,EN,Mammals,482
2018,VU,Mammals,536
2018,CR,Birds,224
2018,EN,Birds,469
2018,VU,Birds,799
2018,CR,Amphibians,550
2018,EN,Amphibians,903
2018,VU,Amphibians,639
2018,CR,Fishes,486
