,Name,EX,EW,Subtotal (EX+EW),CR(PE),CR(PEW),Subtotal (EX+EW+ CR(PE)+CR(PEW)),CR,EN,VU,Subtotal (threatened spp.),LR/cd,NT or LR/nt,LC or LR/lc,DD,Total,species
108,Moldova,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,fungus
109,Russian Federation,0,0,0,0,0,0,0,4,33,37,0,23,45,4,109,fungus
110,Ukraine,0,0,0,0,0,0,0,2,10,12,0,5,18,1,36,fungus
111,American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
112,Australia,0,0,0,0,0,0,1,5,7,13,0,2,12,3,30,fungus
113,Christmas Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
114,Cocos (Keeling) Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
115,Cook Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
116,Fiji,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
117,French Polynesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
118,Guam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
119,Kiribati,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
120,Marshall Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
121,"Micronesia, Federated States of",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
122,Nauru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
123,New Caledonia,0,0,0,0,0,0,1,3,0,4,0,1,0,1,6,fungus
124,New Zealand,0,0,0,0,0,0,2,9,2,13,0,4,13,10,40,fungus
125,Niue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
126,Norfolk Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
127,Northern Mariana Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
128,Palau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
129,Papua New Guinea,0,0,0,0,0,0,0,3,0,3,0,0,1,1,5,fungus
130,Pitcairn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
131,Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
132,Solomon Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
133,Tokelau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
134,Tonga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
135,Tuvalu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
136,United States Minor Outlying Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
137,Vanuatu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
138,Wallis and Futuna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
139,Argentina,0,0,0,0,0,0,5,4,10,19,0,4,30,3,56,fungus
140,"Bolivia, Plurinational States of",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,fungus
141,Brazil,0,0,0,0,0,0,1,2,13,16,0,1,5,4,26,fungus
142,Chile,0,0,0,0,0,0,1,7,7,15,0,5,27,2,49,fungus
143,Colombia,0,0,0,0,0,0,1,0,4,5,0,5,8,0,18,fungus
144,Ecuador,0,0,0,0,0,0,0,0,1,1,0,0,4,0,5,fungus
145,Falkland Islands (Malvinas),0,0,0,0,0,0,0,0,6,6,0,0,0,0,6,fungus
146,French Guiana,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,fungus
147,Guyana,0,0,0,0,0,0,0,0,1,1,0,0,2,8,11,fungus
148,Paraguay,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,fungus
