,Name,EX,EW,Subtotal (EX+EW),CR(PE),CR(PEW),Subtotal (EX+EW+ CR(PE)+CR(PEW)),CR,EN,VU,Subtotal (threatened spp.),LR/cd,NT or LR/nt,LC or LR/lc,DD,Total,species
116,Fiji,1,0,1,0,1,2,30,24,36,90,0,17,236,21,365,plant
117,French Polynesia,2,1,3,0,0,3,29,5,18,52,0,16,119,35,225,plant
118,Guam,0,0,0,0,0,0,1,2,2,5,0,1,45,1,52,plant
119,Kiribati,0,0,0,0,0,0,0,0,0,0,0,0,29,0,29,plant
120,Marshall Islands,0,0,0,0,0,0,0,0,0,0,0,1,33,0,34,plant
121,"Micronesia, Federated States of",0,0,0,0,0,0,1,3,3,7,0,4,113,2,126,plant
122,Nauru,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20,plant
123,New Caledonia,4,0,4,9,0,13,134,235,223,592,5,143,491,40,"1,275",plant
124,New Zealand,6,0,6,0,0,6,4,5,12,21,2,19,124,2,174,plant
125,Niue,0,0,0,0,0,0,0,1,0,1,0,0,41,0,42,plant
126,Norfolk Island,1,0,1,0,0,1,1,0,1,2,0,0,16,0,19,plant
127,Northern Mariana Islands,0,0,0,0,0,0,2,2,2,6,0,1,56,0,63,plant
128,Palau,0,0,0,0,0,0,0,2,3,5,0,3,96,2,106,plant
129,Papua New Guinea,0,0,0,22,1,23,103,180,211,494,0,99,"1,417",321,"2,331",plant
130,Pitcairn,0,1,1,0,0,1,2,2,5,9,0,0,23,0,33,plant
131,Samoa,0,0,0,1,0,1,3,2,2,7,0,4,101,0,112,plant
132,Solomon Islands,0,0,0,0,0,0,0,6,20,26,0,19,329,21,395,plant
133,Tokelau,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,plant
134,Tonga,0,0,0,0,0,0,1,2,4,7,0,1,103,1,112,plant
135,Tuvalu,0,0,0,0,0,0,0,0,0,0,0,0,22,0,22,plant
136,United States Minor Outlying Islands,0,0,0,0,0,0,0,0,0,0,0,0,23,0,23,plant
137,Vanuatu,0,0,0,0,0,0,1,4,5,10,1,9,159,2,181,plant
138,Wallis and Futuna,0,0,0,0,0,0,0,0,1,1,0,1,55,0,57,plant
139,Argentina,0,1,1,0,0,1,7,21,44,72,0,23,777,22,895,plant
140,"Bolivia, Plurinational States of",1,3,4,0,1,5,15,86,127,228,1,46,"1,968",67,"2,314",plant
141,Brazil,5,3,8,7,2,17,184,431,353,968,22,164,"3,774",247,"5,183",plant
142,Chile,1,3,4,0,0,4,23,30,33,86,1,18,242,7,358,plant
143,Colombia,2,4,6,1,1,8,169,299,245,713,3,131,"3,317",98,"4,268",plant
144,Ecuador,3,6,9,48,0,57,271,743,955,"1,969",1,279,"2,130",336,"4,724",plant
145,Falkland Islands (Malvinas),0,0,0,0,0,0,0,5,0,5,0,1,20,1,27,plant
146,French Guiana,0,0,0,0,0,0,4,3,13,20,1,4,"1,224",16,"1,265",plant
147,Guyana,0,0,0,0,0,0,3,9,23,35,1,11,"1,452",22,"1,521",plant
148,Paraguay,0,0,0,0,0,0,3,6,11,20,0,10,564,11,605,plant
149,Peru,1,3,4,0,0,4,40,132,300,472,4,72,"2,355",124,"3,031",plant
150,Suriname,0,0,0,0,0,0,1,3,25,29,0,5,"1,175",13,"1,222",plant
151,Uruguay,0,0,0,0,0,0,4,5,13,22,0,2,254,6,284,plant
152,"Venezuela, Bolivarian Republic of",0,0,0,1,0,1,29,45,94,168,1,75,"2,470",142,"2,856",plant
153,Bangladesh,0,0,0,0,0,0,5,9,15,29,0,11,578,14,632,plant
154,Bhutan,1,0,1,1,0,2,13,19,16,48,0,15,577,31,672,plant
155,British Indian Ocean Territory,0,0,0,0,0,0,0,0,0,0,0,1,19,0,20,plant
156,Brunei Darussalam,0,0,0,0,0,0,10,47,113,170,3,80,411,10,674,plant
157,Cambodia,0,0,0,0,0,0,3,19,20,42,0,19,578,19,658,plant
158,Disputed Territory,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,plant
159,India,2,2,4,1,0,5,93,197,159,449,1,66,"1,617",98,"2,235",plant
160,Indonesia,1,2,3,22,0,25,144,241,378,763,4,208,"2,023",267,"3,268",plant
161,Lao People's Democratic Republic,0,0,0,0,0,0,5,30,32,67,0,19,714,39,839,plant
162,Malaysia,1,1,2,21,2,25,183,295,684,"1,162",98,213,"1,622",120,"3,217",plant
163,Maldives,0,0,0,0,0,0,0,0,0,0,0,0,51,0,51,plant
164,Myanmar,0,0,0,3,0,3,14,42,33,89,0,39,"1,134",46,"1,308",plant
165,Nepal,0,0,0,0,0,0,2,9,11,22,0,5,693,15,735,plant
166,Philippines,0,0,0,6,0,6,205,236,160,601,3,95,961,48,"1,708",plant
167,Singapore,0,0,0,0,0,0,11,17,41,69,8,32,428,9,546,plant
168,Sri Lanka,1,1,2,1,0,3,83,79,136,298,3,9,630,6,948,plant
169,Thailand,0,0,0,0,0,0,18,80,98,196,2,68,"1,353",94,"1,713",plant
170,Timor-Leste,0,0,0,0,0,0,1,3,1,5,0,2,194,2,203,plant
171,Viet Nam,0,1,1,2,1,4,64,100,114,278,1,55,"1,305",99,"1,739",plant
172,Angola,0,0,0,1,0,1,2,10,37,49,0,20,"1,273",63,"1,405",plant
173,Benin,0,0,0,0,0,0,0,4,14,18,0,7,833,1,859,plant
174,Botswana,0,0,0,0,0,0,0,1,2,3,0,2,606,9,620,plant
175,Burkina Faso,0,0,0,0,0,0,0,2,3,5,0,3,604,3,615,plant
176,Burundi,0,0,0,16,1,17,22,63,49,134,1,18,674,9,836,plant
