,index,Unnamed: 0,Unnamed: 0.1,Name,EX,EW,Subtotal (EX+EW),CR(PE),CR(PEW),Subtotal (EX+EW+ CR(PE)+CR(PEW)),CR,EN,VU,Subtotal (threatened spp.),LR/cd,NT or LR/nt,LC or LR/lc,DD,Total,species,CODE
70,276,276,69,Liechtenstein,0,0,0,0,0,0,0,1,7,8,0,24,396,7,435,animal,LIE
71,280,280,70,Lithuania,0,0,0,0,0,0,2,3,21,26,0,34,541,15,616,animal,LTU
72,284,284,71,Luxembourg,0,0,0,0,0,0,2,3,7,12,0,22,451,12,497,animal,LUX
73,288,288,72,Malta,0,0,0,0,0,0,8,9,31,48,0,27,563,42,680,animal,MLT
74,292,292,73,Monaco,0,0,0,0,0,0,6,7,23,36,0,13,382,26,457,animal,MCO
75,296,296,74,Montenegro,1,0,1,1,0,2,17,31,59,107,0,87,978,82,"1,255",animal,MNE
76,300,300,75,Netherlands,1,0,1,0,0,1,8,5,33,46,0,49,752,37,885,animal,NLD
77,304,304,76,North Macedonia,2,0,2,2,0,4,19,35,67,121,0,60,725,49,957,animal,MKD
78,308,308,77,Norway,0,0,0,0,0,0,7,11,40,58,0,46,661,30,795,animal,NOR
79,312,312,78,Poland,1,0,1,0,0,1,3,13,36,52,0,59,756,34,902,animal,POL
80,316,316,79,Portugal,6,0,6,17,0,23,107,94,133,334,0,123,"1,698",290,"2,451",animal,PRT
81,320,320,80,Romania,2,0,2,2,0,4,19,28,76,123,0,74,930,74,"1,203",animal,ROU
82,324,324,81,San Marino,0,0,0,0,0,0,1,0,2,3,0,5,61,4,73,animal,SMR
83,328,328,82,Serbia,0,0,0,1,0,1,10,12,50,72,0,65,824,29,990,animal,SRB
84,332,332,83,Slovakia,0,0,0,0,0,0,6,12,36,54,0,60,723,44,881,animal,SVK
85,336,336,84,Slovenia,0,0,0,0,0,0,12,27,107,146,0,56,"1,081",85,"1,368",animal,SVN
86,340,340,85,Spain,2,0,2,12,0,14,77,142,230,449,0,275,"2,175",495,"3,396",animal,ESP
87,344,344,86,Svalbard and Jan Mayen,0,0,0,0,0,0,0,1,10,11,0,7,74,4,96,animal,SJM
88,348,348,87,Sweden,0,0,0,0,0,0,5,7,36,48,0,50,681,32,811,animal,SWE
89,352,352,88,Switzerland,6,0,6,0,0,6,4,15,53,72,0,68,782,58,986,animal,CHE
90,356,356,89,United Kingdom,2,0,2,0,0,2,12,21,58,91,0,60,986,72,"1,211",animal,GBR
91,360,360,90,Belize,1,0,1,0,0,1,11,28,58,97,0,59,"2,074",94,"2,325",animal,BLZ
92,364,364,91,Costa Rica,4,0,4,7,0,11,35,82,154,271,0,107,"3,392",235,"4,009",animal,CRI
93,368,368,92,El Salvador,0,0,0,0,0,0,8,24,52,84,0,49,"1,615",84,"1,832",animal,SLV
94,372,372,93,Guatemala,3,0,3,5,0,8,47,88,122,257,0,83,"2,810",167,"3,320",animal,GTM
95,376,376,94,Honduras,4,0,4,10,0,14,62,76,107,245,0,88,"3,030",160,"3,527",animal,HND
96,380,380,95,Mexico,21,9,30,35,3,68,202,343,362,907,1,217,"4,930",585,"6,670",animal,MEX
97,384,384,96,Nicaragua,1,0,1,0,0,1,26,31,95,152,0,82,"2,948",162,"3,345",animal,NIC
98,388,388,97,Panama,2,0,2,8,1,11,56,82,131,269,0,118,"3,534",296,"4,219",animal,PAN
99,392,392,98,Algeria,2,1,3,0,0,3,18,40,77,135,0,56,928,142,"1,264",animal,DZA
100,396,396,99,Egypt,1,1,2,0,0,2,15,36,129,180,2,134,"1,759",184,"2,261",animal,EGY
101,400,400,100,Libya,0,1,1,0,0,1,11,18,45,74,0,29,689,69,862,animal,LBY
102,404,404,101,Morocco,2,0,2,0,0,2,30,63,95,188,0,79,"1,458",176,"1,903",animal,MAR
103,408,408,102,Tunisia,11,0,11,1,0,12,16,26,61,103,0,47,856,102,"1,119",animal,TUN
104,412,412,103,Western Sahara,0,1,1,0,0,1,7,22,36,65,0,36,930,102,"1,134",animal,ESH
105,416,416,104,Canada,9,0,9,3,0,12,18,32,84,134,0,64,"1,902",87,"2,196",animal,CAN
