,Name,EX,EW,Subtotal (EX+EW),CR(PE),CR(PEW),Subtotal (EX+EW+ CR(PE)+CR(PEW)),CR,EN,VU,Subtotal (threatened spp.),LR/cd,NT or LR/nt,LC or LR/lc,DD,Total,species
104,Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
105,Saint Pierre and Miquelon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
106,United States,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
107,Belarus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
108,Moldova,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
109,Russian Federation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
110,Ukraine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
111,American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
112,Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
113,Christmas Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
114,Cocos (Keeling) Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
115,Cook Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
116,Fiji,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
117,French Polynesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
118,Guam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
119,Kiribati,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
120,Marshall Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
121,"Micronesia, Federated States of",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
122,Nauru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
123,New Caledonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
124,New Zealand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
125,Niue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
126,Norfolk Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
127,Northern Mariana Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
128,Palau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
129,Papua New Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
130,Pitcairn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
131,Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
132,Solomon Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
133,Tokelau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
134,Tonga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
135,Tuvalu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
136,United States Minor Outlying Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
137,Vanuatu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
138,Wallis and Futuna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
139,Argentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
140,"Bolivia, Plurinational States of",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
141,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
142,Chile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
143,Colombia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
144,Ecuador,0,0,0,4,0,4,4,1,1,6,0,0,0,9,15,chromist
145,Falkland Islands (Malvinas),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
146,French Guiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
147,Guyana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
148,Paraguay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
149,Peru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
150,Suriname,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
151,Uruguay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
152,"Venezuela, Bolivarian Republic of",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
153,Bangladesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
154,Bhutan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
155,British Indian Ocean Territory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
156,Brunei Darussalam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
157,Cambodia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
