,,VERTEBRATES,,,,,,INVERTEBRATES,,,,,,,,,PLANTS,,,,,,,FUNGI & PROTISTS,,,,TOTAL
Year,,Mammals,Birds,Reptiles,Amphibians,Fishes,"Subtotal
(Vertebrates)",Insects,Molluscs,Crustaceans,Corals,Arachnids,"Velvet
worms","Horseshoe
crabs","Other
invertebrates","Subtotal
(Invertebrates)",Mosses,"Ferns &
allies",Gymnosperms,"Flowering
plants","Green
algae","Red
algae","Subtotal
(Plants)",Lichens,Mushrooms,"Brown
algae","Subtotal
(Fungi & protists)",
,Total threatened,1141,1222,423,1905,1275,5966,626,978,606,235,18,9,0,24,2496,82,139,323,7904,0,9,8457,2,1,6,9,16928
2007,Total assessed,4863,9956,1385,5915,3119,25238,1255,2212,553,13,18,11,4,50,4116,92,211,909,10771,2,58,12043,2,1,15,18,41415
,Total threatened,1094,1217,422,1808,1201,5742,623,978,460,5,10,9,0,23,2108,79,139,321,7899,0,9,8447,2,1,6,9,16306
2006,Total assessed,4864,9934,664,5918,2912,24292,1192,2163,537,2,18,11,4,51,3978,93,212,908,10688,0,0,11901,2,1,0,3,40174
,Total threatened,1093,1206,341,1811,1171,5622,623,975,459,1,10,9,0,24,2101,80,139,306,7865,0,0,8390,2,1,0,3,16116
2004,Total assessed,4853,9917,499,5743,1721,22733,771,2163,498,2,18,11,4,20,3487,93,210,907,10614,0,0,11824,2,0,0,2,38046
,Total threatened,1101,1213,304,1770,800,5188,559,974,429,1,10,9,0,10,1992,80,140,305,7796,0,0,8321,2,0,0,2,15503
2003,Total assessed,4789,2139,473,401,1532,9334,768,2098,461,2,18,11,4,20,3382,93,180,907,8526,0,0,9706,2,0,0,2,22424
,Total threatened,1130,1194,293,157,750,3524,553,967,409,1,10,9,0,10,1959,80,111,304,6279,0,0,6774,2,0,0,2,12259
2002,Total assessed,2150,2138,453,263,1265,6269,747,2018,459,2,18,11,4,19,3278,83,0,251,6816,0,0,7150,0,0,0,0,16697
,Total threatened,1137,1192,293,157,742,3521,557,939,409,1,10,6,0,10,1932,80,0,142,5492,0,0,5714,0,0,0,0,11167
2000,Total assessed,2133,2123,454,231,1267,6208,747,2017,459,2,18,11,4,19,3277,83,0,251,6688,0,0,7022,0,0,0,0,16507
,Total threatened,1130,1183,296,146,752,3507,555,938,408,1,10,6,0,10,1928,80,0,141,5390,0,0,5611,0,0,0,0,11046
1996/19983,Total assessed,2067,2167,428,198,1194,6054,730,1958,458,2,18,11,4,19,3200,0,0,—5,—5,0,0,—5,0,0,0,0,—5
,Total threatened,1096,1107,253,124,734,3314,537,920,407,1,11,6,0,9,1891,0,0,142,5186,0,0,5328,0,0,0,0,10533
