,Unnamed: 0,Name,EX,EW,Subtotal (EX+EW),CR(PE),CR(PEW),Subtotal (EX+EW+ CR(PE)+CR(PEW)),CR,EN,VU,Subtotal (threatened spp.),LR/cd,NT or LR/nt,LC or LR/lc,DD,Total,species,CODE
169,42,Åland Islands,0,0,0,0,0,0,0,0,1,1,0,0,12,0,13,plant,ALA
170,12,Cayman Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus,CYM
171,42,Åland Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,ALA
172,43,Albania,1,0,1,1,0,2,19,49,72,140,0,88,"1,045",79,"1,353",animal,ALB
173,43,Albania,0,0,0,0,0,0,1,0,4,5,0,6,489,32,532,plant,ALB
174,179,Central African Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus,CAF
175,43,Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,ALB
176,44,Andorra,0,0,0,0,0,0,0,3,11,14,0,20,309,7,350,animal,AND
177,44,Andorra,0,0,0,0,0,0,0,0,1,1,0,1,124,7,133,plant,AND
178,180,Chad,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,fungus,TCD
179,44,Andorra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,AND
180,45,Austria,3,0,3,4,0,7,24,29,52,105,0,81,851,66,"1,106",animal,AUT
181,45,Austria,0,0,0,0,0,0,6,17,15,38,0,10,479,30,557,plant,AUT
182,142,Chile,0,0,0,0,0,0,1,7,7,15,0,5,27,2,49,fungus,CHL
183,45,Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,AUT
184,46,Belgium,1,0,1,0,0,1,6,6,32,44,0,48,704,38,835,animal,BEL
185,46,Belgium,0,1,1,0,0,1,0,1,2,3,0,5,368,13,390,plant,BEL
186,34,China,0,0,0,0,0,0,0,1,7,8,0,5,19,1,33,fungus,CHN
